2025-12-18 20:07:19,008 - root - ERROR - Failed to connect to 20943: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,011 - root - ERROR - Failed to connect to 20928: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,012 - root - ERROR - Failed to connect to 20937: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,013 - root - ERROR - Failed to connect to 20946: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,015 - root - ERROR - Failed to connect to 20941: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,016 - root - ERROR - Failed to connect to 20935: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,018 - root - ERROR - Failed to connect to 20936: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,019 - root - ERROR - Failed to connect to 20934: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,020 - root - ERROR - Failed to connect to 20940: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,022 - root - ERROR - Failed to connect to 20947: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,024 - root - ERROR - Failed to connect to 20930: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,025 - root - ERROR - Failed to connect to 20942: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,026 - root - ERROR - Failed to connect to 20931: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,028 - root - ERROR - Failed to connect to 20933: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,029 - root - ERROR - Failed to connect to 20939: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,030 - root - ERROR - Failed to connect to 20945: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,032 - root - ERROR - Failed to connect to 20938: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,033 - root - ERROR - Failed to connect to 20944: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,034 - root - ERROR - Failed to connect to 20932: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
2025-12-18 20:07:19,036 - root - ERROR - Failed to connect to 20929: [WinError 10060] Pokus o pøipojení selhal, protože pøipojená strana v èasovém intervalu øádnì neodpovìdìla, nebo vytvoøené pøipojení selhalo, protože neodpovìdìl pøipojený hostitel
